Japanisch;Deutsch

くに;Land
ひと;Mensch
ことば;Sprache

アメリカ;USA
イギリス;Großbritanien
イタリア;Italien
イラン;Iran
インド;Indien
インドネシア;Indonesien
エジプト;Ägypten
オーストラリア;Australien
カナダ;Kanada
かんこく;Südkorea
サウジアラビア;Saudi-Arabien
シンガポール;Singapur
スペイン;Spanien
タイ;Thailand
ちゅうごく;China
ドイツ;Deutschland
にほん;Japan
フランス;Frankreich
フィリピン;Philippinen
ブラジル;Brasilien
ベトナム;Vietnam
マレーシア;Malaysia
メキシコ;Mexiko
ロシア;Russland

アメリカじん;Amerikaner
イギリスじん;Brite
イタリアじん;Italiener
イランじん;Iraner
インドじん;Inder
インドネシアじん;Indonesier
エジプトじん;Ägypter
オーストラリアじん;Australier
かんこくじん;Südkoreaner
サウジアラビアじん;Saudi-Araber
シンガポールじん;Singapurer
スペインじん;Spanier
タイじん;Thailänder
ちゅうごくじん;Chinese
ドイツじん;Deutscher
にほんじん;Japaner
フランスじん;Franzose
フィリピンじん;Philippiner
ブラジルじん;Brasilianer
ベトナムじん;Vietnamnese
マレーシアじん;Malaysier
メキシコじん;Mexikaner
ロシアじん;Russe

えいご;Englisch
イタリアご;Italenisch
ペルシアご;Persisch
ヒンディーご;Hindi
インドネシアご;Indonesisch
アラビアご;Arabisch
フランスご;Französisch
かんこくご;Koreanisch
スペインご;Spanisch
タイご;Thai
ちゅごくご;Chinesisch
ドイツご;Deutsch
にほんご;Japanisch
フィリピノご;Philippinisch
ポルトガルご;Portugiesisch
ベトナムご;Vietnamesisch
マレーシアご;Malaysisch
ロシアご;Russisch
